belagskategorie;option;bewertungskategorie;wert;gewicht;group_id;min_wert;max_wert;score_normiert;MCA_score_kriterium
Asphalt;Selbstheilender Asphalt;barrierefreiheit;5,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000;0,05000000000000000
Pflaster;Natursteinpflaster (6-10 mm Fugen);lebensdauer;50,00;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;1,0000000000000000;0,10000000000000001
Pflaster;Natursteinpflaster (6-10 mm Fugen);versickerung;0,60;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;0,4999999999999999;0,03749999999999999
Pflaster;Natursteinpflaster (6-10 mm Fugen);oberflaechentemperatur;47,50;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,6635802469135803;0,04976851851851852
Pflaster;Natursteinpflaster (6-10 mm Fugen);befahrbarkeit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000;0,02500000000000000
Pflaster;Natursteinpflaster (6-10 mm Fugen);kosten;350,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,0000000000000000;0,00000000000000000
Pflaster;Natursteinpflaster (6-10 mm Fugen);unterhalt;5,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,5714285714285714;0,04285714285714285
Pflaster;Natursteinpflaster (6-10 mm Fugen);co2;60,00;0,180;umweltbelastung;17,5;72,5;0,2272727272727273;0,04090909090909091
Pflaster;Natursteinpflaster (6-10 mm Fugen);graueEnergie;270,00;0,120;umweltbelastung;70,0;375,0;0,3442622950819673;0,04131147540983607
Pflaster;Natursteinpflaster (6-10 mm Fugen);recyclingfaehigkeit;1,00;0,080;kreislauffaehigkeit;0,2;1,0;1,0000000000000000;0,08000000000000000
Pflaster;Natursteinpflaster (6-10 mm Fugen);lokaleMaterialien;0,40;0,060;kreislauffaehigkeit;0,4;1,0;0,0000000000000000;0,00000000000000000
Pflaster;Natursteinpflaster (6-10 mm Fugen);modulareErneuerbarkeit;5,00;0,060;kreislauffaehigkeit;1,0;5,0;1,0000000000000000;0,06000000000000000
Pflaster;Natursteinpflaster (6-10 mm Fugen);barrierefreiheit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000;0,02500000000000000
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);lebensdauer;35,00;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,5714285714285714;0,05714285714285714
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);versickerung;1,00;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;1,0000000000000000;0,07500000000000000
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);oberflaechentemperatur;57,50;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,9722222222222222;0,07291666666666666
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);befahrbarkeit;4,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,7500000000000000;0,03750000000000001
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);kosten;100,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,8333333333333334;0,06250000000000000
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);unterhalt;4,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,7142857142857143;0,05357142857142857
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);co2;55,00;0,180;umweltbelastung;17,5;72,5;0,3181818181818182;0,05727272727272728
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);graueEnergie;135,00;0,120;umweltbelastung;70,0;375,0;0,7868852459016393;0,09442622950819672
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);recyclingfaehigkeit;0,40;0,080;kreislauffaehigkeit;0,2;1,0;0,2500000000000000;0,02000000000000000
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);lokaleMaterialien;0,80;0,060;kreislauffaehigkeit;0,4;1,0;0,6666666666666667;0,04000000000000000
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);modulareErneuerbarkeit;5,00;0,060;kreislauffaehigkeit;1,0;5,0;1,0000000000000000;0,06000000000000000
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);barrierefreiheit;5,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000;0,05000000000000000
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);lebensdauer;30,00;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,4285714285714285;0,04285714285714286
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);versickerung;0,35;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;0,1874999999999999;0,01406250000000000
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);oberflaechentemperatur;50,00;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,7407407407407408;0,05555555555555556
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);befahrbarkeit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000;0,02500000000000000
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);kosten;125,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,7500000000000000;0,05624999999999999
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);unterhalt;7,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,2857142857142857;0,02142857142857143
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);co2;50,00;0,180;umweltbelastung;17,5;72,5;0,4090909090909091;0,07363636363636362
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);graueEnergie;175,00;0,120;umweltbelastung;70,0;375,0;0,6557377049180328;0,07868852459016394
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);recyclingfaehigkeit;0,40;0,080;kreislauffaehigkeit;0,2;1,0;0,2500000000000000;0,02000000000000000
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);lokaleMaterialien;0,80;0,060;kreislauffaehigkeit;0,4;1,0;0,6666666666666667;0,04000000000000000
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);modulareErneuerbarkeit;5,00;0,060;kreislauffaehigkeit;1,0;5,0;1,0000000000000000;0,06000000000000000
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);barrierefreiheit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000;0,02500000000000000
Sickerbeläge;Chaussierung;lebensdauer;17,50;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,0714285714285714;0,00714285714285714
