belagskategorie;option;bewertungskategorie;wert;gewicht;group_id;min_wert;max_wert;score_normiert
Sickerbeläge;Kiesrasen;oberflaechentemperatur;49,00;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,2901234567901234
Sickerbeläge;Kiesrasen;befahrbarkeit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000
Sickerbeläge;Kiesrasen;kosten;95,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,8500000000000000
Sickerbeläge;Kiesrasen;unterhalt;9,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,0000000000000000
Sickerbeläge;Kiesrasen;co2;25,00;0,180;umweltbelastung;17,5;72,5;0,8636363636363636
Sickerbeläge;Kiesrasen;graueEnergie;100,00;0,120;umweltbelastung;70,0;375,0;0,9016393442622951
Sickerbeläge;Kiesrasen;recyclingfaehigkeit;1,00;0,080;kreislauffaehigkeit;0,2;1,0;1,0000000000000000
Sickerbeläge;Kiesrasen;lokaleMaterialien;0,90;0,060;kreislauffaehigkeit;0,4;1,0;0,8333333333333334
Sickerbeläge;Kiesrasen;modulareErneuerbarkeit;3,00;0,060;kreislauffaehigkeit;1,0;5,0;0,5000000000000000
Sickerbeläge;Kiesrasen;barrierefreiheit;1,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,0000000000000000
Sickerbeläge;Rasengittersteine;lebensdauer;25,00;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,2857142857142857
Sickerbeläge;Rasengittersteine;versickerung;0,40;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;0,2500000000000000
Sickerbeläge;Rasengittersteine;oberflaechentemperatur;26,00;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;1,0000000000000000
Sickerbeläge;Rasengittersteine;befahrbarkeit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000
Sickerbeläge;Rasengittersteine;kosten;100,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,8333333333333334
Sickerbeläge;Rasengittersteine;unterhalt;6,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,4285714285714286
Sickerbeläge;Rasengittersteine;co2;45,00;0,180;umweltbelastung;17,5;72,5;0,5000000000000000
Sickerbeläge;Rasengittersteine;graueEnergie;137,50;0,120;umweltbelastung;70,0;375,0;0,7786885245901639
Sickerbeläge;Rasengittersteine;recyclingfaehigkeit;0,40;0,080;kreislauffaehigkeit;0,2;1,0;0,2500000000000000
Sickerbeläge;Rasengittersteine;lokaleMaterialien;0,80;0,060;kreislauffaehigkeit;0,4;1,0;0,6666666666666667
Sickerbeläge;Rasengittersteine;modulareErneuerbarkeit;3,00;0,060;kreislauffaehigkeit;1,0;5,0;0,5000000000000000
Sickerbeläge;Rasengittersteine;barrierefreiheit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000
