baumkategorie;baumart;bewertungskategorie;wert;szenario;gewicht;group_id;min_wert;max_wert;score_normiert;MCA_score_kriterium
Grosskronige Arten;Quercus robur (Stieleiche);pflegeaufwand;2,0;Szenario 2: Radikale Vermeidung;0,0125;langlebigkeit_wirtschaftlichkeit;1,0;3,0;0,5000000000000000;0,006250000000000000
Grosskronige Arten;Quercus robur (Stieleiche);pflegeaufwand;2,0;Szenario 3: Radikaler Lebenszyklus;0,2000;langlebigkeit_wirtschaftlichkeit;1,0;3,0;0,5000000000000000;0,100000000000000006
Grosskronige Arten;Quercus robur (Stieleiche);recyclingpotential;3,0;Szenario 0: Baseline (IST);0,1000;kreislauffaehigkeit;1,0;3,0;1,0000000000000000;0,100000000000000006
Grosskronige Arten;Quercus robur (Stieleiche);recyclingpotential;3,0;Szenario 1: Forschungsfokus;0,2500;kreislauffaehigkeit;1,0;3,0;1,0000000000000000;0,250000000000000000
Grosskronige Arten;Quercus robur (Stieleiche);recyclingpotential;3,0;Szenario 2: Radikale Vermeidung;0,4500;kreislauffaehigkeit;1,0;3,0;1,0000000000000000;0,450000000000000011
Grosskronige Arten;Quercus robur (Stieleiche);recyclingpotential;3,0;Szenario 3: Radikaler Lebenszyklus;0,0500;kreislauffaehigkeit;1,0;3,0;1,0000000000000000;0,050000000000000003
Grosskronige Arten;Quercus petraea (Traubeneiche);lebensdauer_mw;100,0;Szenario 0: Baseline (IST);0,2000;langlebigkeit_wirtschaftlichkeit;50,0;100,0;1,0000000000000000;0,200000000000000011
Grosskronige Arten;Quercus petraea (Traubeneiche);lebensdauer_mw;100,0;Szenario 1: Forschungsfokus;0,2000;langlebigkeit_wirtschaftlichkeit;50,0;100,0;1,0000000000000000;0,200000000000000011
Grosskronige Arten;Quercus petraea (Traubeneiche);lebensdauer_mw;100,0;Szenario 2: Radikale Vermeidung;0,0250;langlebigkeit_wirtschaftlichkeit;50,0;100,0;1,0000000000000000;0,025000000000000001
Grosskronige Arten;Quercus petraea (Traubeneiche);lebensdauer_mw;100,0;Szenario 3: Radikaler Lebenszyklus;0,4000;langlebigkeit_wirtschaftlichkeit;50,0;100,0;1,0000000000000000;0,400000000000000022
Grosskronige Arten;Quercus petraea (Traubeneiche);klimaangepasst;2,0;Szenario 0: Baseline (IST);0,0800;multifunktionale_nutzungsqualitaet;1,0;3,0;0,5000000000000000;0,040000000000000008
Grosskronige Arten;Quercus petraea (Traubeneiche);klimaangepasst;2,0;Szenario 1: Forschungsfokus;0,0200;multifunktionale_nutzungsqualitaet;1,0;3,0;0,5000000000000000;0,010000000000000002
Grosskronige Arten;Quercus petraea (Traubeneiche);klimaangepasst;2,0;Szenario 2: Radikale Vermeidung;0,0100;multifunktionale_nutzungsqualitaet;1,0;3,0;0,5000000000000000;0,005000000000000001
Grosskronige Arten;Quercus petraea (Traubeneiche);klimaangepasst;2,0;Szenario 3: Radikaler Lebenszyklus;0,0200;multifunktionale_nutzungsqualitaet;1,0;3,0;0,5000000000000000;0,010000000000000002
Grosskronige Arten;Quercus petraea (Traubeneiche);geeignet_stadtbaum;2,0;Szenario 0: Baseline (IST);0,0800;multifunktionale_nutzungsqualitaet;1,0;3,0;0,5000000000000000;0,040000000000000008
Grosskronige Arten;Quercus petraea (Traubeneiche);geeignet_stadtbaum;2,0;Szenario 1: Forschungsfokus;0,0200;multifunktionale_nutzungsqualitaet;1,0;3,0;0,5000000000000000;0,010000000000000002
Grosskronige Arten;Quercus petraea (Traubeneiche);geeignet_stadtbaum;2,0;Szenario 2: Radikale Vermeidung;0,0100;multifunktionale_nutzungsqualitaet;1,0;3,0;0,5000000000000000;0,005000000000000001
Grosskronige Arten;Quercus petraea (Traubeneiche);geeignet_stadtbaum;2,0;Szenario 3: Radikaler Lebenszyklus;0,0200;multifunktionale_nutzungsqualitaet;1,0;3,0;0,5000000000000000;0,010000000000000002
Grosskronige Arten;Quercus petraea (Traubeneiche);kronenbreite_mw;17,5;Szenario 0: Baseline (IST);0,0480;multifunktionale_nutzungsqualitaet;3,0;17,5;1,0000000000000000;0,048000000000000001
Grosskronige Arten;Quercus petraea (Traubeneiche);kronenbreite_mw;17,5;Szenario 1: Forschungsfokus;0,0120;multifunktionale_nutzungsqualitaet;3,0;17,5;1,0000000000000000;0,012000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);kronenbreite_mw;17,5;Szenario 2: Radikale Vermeidung;0,0060;multifunktionale_nutzungsqualitaet;3,0;17,5;1,0000000000000000;0,006000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);kronenbreite_mw;17,5;Szenario 3: Radikaler Lebenszyklus;0,0120;multifunktionale_nutzungsqualitaet;3,0;17,5;1,0000000000000000;0,012000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);biodiversitaet;4,4;Szenario 0: Baseline (IST);0,0480;multifunktionale_nutzungsqualitaet;1,4;4,7;0,9090909090909092;0,043636363636363640
Grosskronige Arten;Quercus petraea (Traubeneiche);biodiversitaet;4,4;Szenario 1: Forschungsfokus;0,0120;multifunktionale_nutzungsqualitaet;1,4;4,7;0,9090909090909092;0,010909090909090910
Grosskronige Arten;Quercus petraea (Traubeneiche);biodiversitaet;4,4;Szenario 2: Radikale Vermeidung;0,0060;multifunktionale_nutzungsqualitaet;1,4;4,7;0,9090909090909092;0,005454545454545455
Grosskronige Arten;Quercus petraea (Traubeneiche);biodiversitaet;4,4;Szenario 3: Radikaler Lebenszyklus;0,0120;multifunktionale_nutzungsqualitaet;1,4;4,7;0,9090909090909092;0,010909090909090910
Grosskronige Arten;Quercus petraea (Traubeneiche);kuehlung_mw;5,0;Szenario 0: Baseline (IST);0,0480;multifunktionale_nutzungsqualitaet;1,5;5,0;1,0000000000000000;0,048000000000000001
Grosskronige Arten;Quercus petraea (Traubeneiche);kuehlung_mw;5,0;Szenario 1: Forschungsfokus;0,0120;multifunktionale_nutzungsqualitaet;1,5;5,0;1,0000000000000000;0,012000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);kuehlung_mw;5,0;Szenario 2: Radikale Vermeidung;0,0060;multifunktionale_nutzungsqualitaet;1,5;5,0;1,0000000000000000;0,006000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);kuehlung_mw;5,0;Szenario 3: Radikaler Lebenszyklus;0,0120;multifunktionale_nutzungsqualitaet;1,5;5,0;1,0000000000000000;0,012000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);co2_bindung_mw;5,0;Szenario 0: Baseline (IST);0,0480;multifunktionale_nutzungsqualitaet;5,0;37,5;0,0000000000000000;0,000000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);co2_bindung_mw;5,0;Szenario 1: Forschungsfokus;0,0120;multifunktionale_nutzungsqualitaet;5,0;37,5;0,0000000000000000;0,000000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);co2_bindung_mw;5,0;Szenario 2: Radikale Vermeidung;0,0060;multifunktionale_nutzungsqualitaet;5,0;37,5;0,0000000000000000;0,000000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);co2_bindung_mw;5,0;Szenario 3: Radikaler Lebenszyklus;0,0120;multifunktionale_nutzungsqualitaet;5,0;37,5;0,0000000000000000;0,000000000000000000
Grosskronige Arten;Quercus petraea (Traubeneiche);regenwasser_mw;325,0;Szenario 0: Baseline (IST);0,0480;multifunktionale_nutzungsqualitaet;115,0;325,0;1,0000000000000000;0,048000000000000001
